a little sump'm sump'm	little sump'm sump'ms
beer cartilage	beer cartilagia
black lotus	black loti
boxed wine	boxes of wine
boxed champagne	boxes of champagne
chewing gum on a string	chewing gums on strings
dead guy's watch	dead guys' watches
f3d0r4	f3d0r45
gibson	carlisle
gin and tonic	jynnan tonnix
kiwi	kiwus
mimosette	marmosets
mr. accessory jr.	mr. accessory jrs.
redrum	redsrum
teqiwila	teqiwiluses
vodka and tonic	vodkas and tonics
vodka gibson	vodka carlisle
yo-yo	yo-yo-yo
zmobie	zombeis
zombie pineal gland	zombie glands pineal
